Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2015/09/15, 17:49:44,-46.954769,37.853264,58.93,1224,180,-2,0,1
2015/09/15, 17:49:45,-46.954765,37.853264,58.93,1044,180,0,0.44,1
2015/09/15, 17:49:46,-46.954769,37.853264,58.97,1260,180,0,0.44,1
2015/09/15, 17:49:47,-46.954769,37.853264,59.1,1080,180,0,0,1
2015/09/15, 17:49:48,-46.954754,37.853271,58.83,2484,259,0,1.75,1
2015/09/15, 17:49:49,-46.954742,37.853271,58.1,1296,259,0,1.33,1
2015/09/15, 17:49:50,-46.954731,37.853275,57.75,1080,259,0,1.26,1
2015/09/15, 17:49:51,-46.954716,37.853294,57.59,1872,259,0,2.2,1
2015/09/15, 17:49:52,-46.954697,37.853306,57.29,1836,259,0,2.3,1
2015/09/15, 17:49:53,-46.954689,37.853317,58.14,3168,319,0,1.22,1
2015/09/15, 17:49:54,-46.954689,37.853321,58.85,2628,339,0,0.3,1
2015/09/15, 17:49:55,-46.954685,37.853329,59.13,2484,351,0,0.75,1
2015/09/15, 17:49:56,-46.954685,37.853333,59.4,1692,351,0,0.3,1
2015/09/15, 17:49:57,-46.954708,37.853325,61.22,1116,351,0,2.63,1
2015/09/15, 17:49:58,-46.954723,37.853325,62.31,828,351,0,1.67,1
2015/09/15, 17:49:59,-46.954731,37.853325,63.44,0,351,0,0.89,1
2015/09/15, 17:50:00,-46.954731,37.853325,63.44,0,351,0,0,1
2015/09/15, 17:50:01,-46.954731,37.853325,63.44,0,351,0,0,1
2015/09/15, 17:50:02,-46.954731,37.853325,63.44,0,351,0,0,1
2015/09/15, 17:50:03,-46.954731,37.853325,63.44,0,351,0,0,1
2015/09/15, 17:50:04,-46.954731,37.853325,63.44,0,351,-4,0,1
2015/09/16, 10:19:32,-46.941952,37.871372,46.88,2448,58,-2,0,1
2015/09/16, 10:49:50,-46.941887,37.871471,33.85,576,3,0,10.43,1
2015/09/16, 11:20:15,-46.94186,37.87146,44.07,288,340,0,3.12,1
2015/09/16, 11:51:05,-46.941856,37.871471,40.85,180,125,0,0.95,1
2015/09/16, 12:25:11,-46.941902,37.871471,35.7,648,313,0,5.11,1
2015/09/16, 12:55:32,-46.941879,37.871475,40.44,0,161,0,2.58,1
2015/09/16, 13:25:58,-46.941895,37.871471,26.36,0,148,0,1.8,1
2015/09/16, 13:56:35,-46.941868,37.871506,33.17,0,221,0,4.01,1
2015/09/16, 14:27:06,-46.941868,37.871574,37.7,0,158,0,5.16,1
2015/09/16, 14:57:35,-46.941891,37.871647,35.53,0,56,0,6.1,1
2015/09/16, 15:28:35,-46.94191,37.871441,39.85,108,3,0,15.78,1
2015/09/16, 15:58:53,-46.941879,37.871483,41.74,288,212,0,4.7,1
2015/09/16, 16:29:05,-46.941872,37.871452,34.29,0,276,0,2.48,1
2015/09/16, 16:59:15,-46.941875,37.871418,32.89,0,24,0,2.6,1
2015/09/16, 17:29:58,-46.941891,37.871479,35.4,180,337,0,4.96,1
2015/09/16, 18:00:09,-46.941891,37.871494,32.68,252,109,0,1.14,1
2015/09/16, 18:30:13,-46.941902,37.87149,38.59,0,0,0,1.26,1
2015/09/16, 19:00:17,-46.941868,37.871494,30.07,0,41,0,3.79,1
2015/09/16, 19:30:24,-46.941891,37.871464,38.18,0,242,0,3.42,1
2015/09/16, 20:00:39,-46.941845,37.871513,35.8,0,47,0,6.32,1
2015/09/16, 20:31:13,-46.941845,37.871429,35.11,1116,11,0,6.38,1
2015/09/16, 21:02:35,-46.941902,37.871441,35.04,108,202,0,6.4,1
2015/09/16, 21:33:27,-46.941914,37.871437,35.04,0,159,0,1.37,1
2015/09/16, 22:04:12,-46.941891,37.871433,36.22,0,151,0,2.58,1
2015/09/16, 22:34:54,-46.941895,37.871441,36.22,468,206,0,0.75,1
2015/09/16, 23:05:34,-46.941895,37.871433,39.57,108,0,0,0.61,1
2015/09/16, 23:36:13,-46.941956,37.871361,37.16,432,142,-4,8.71,1
2015/09/17, 00:06:53,-46.941959,37.871399,31.39,252,35,-2,0,1
2015/09/17, 00:37:32,-46.941895,37.871353,28.07,0,189,0,7.93,1
2015/09/17, 01:08:34,-46.941971,37.87141,34.38,288,54,0,9.49,1
2015/09/17, 01:39:16,-46.94191,37.871548,53.2,0,60,0,12.48,1
2015/09/17, 02:10:33,-46.94194,37.871479,42.96,216,4,0,6.21,1
2015/09/17, 02:41:42,-46.941902,37.871479,44.99,756,142,0,4.23,1
2015/09/17, 03:13:02,-46.94194,37.871471,34.99,720,156,0,4.27,1
2015/09/17, 03:44:18,-46.941914,37.87149,40.61,288,178,0,3.23,1
2015/09/17, 04:15:37,-46.941917,37.871464,36.46,0,89,0,2,1
2015/09/17, 04:46:33,-46.941917,37.871433,39.66,0,258,0,2.35,1
2015/09/17, 05:17:34,-46.941883,37.871475,36.21,72,34,0,4.95,1
2015/09/17, 05:48:15,-46.941875,37.871441,37.85,0,205,0,2.73,1
2015/09/17, 06:18:51,-46.941875,37.871437,37.56,720,171,0,0.3,1
2015/09/17, 06:49:29,-46.941902,37.871452,40.85,0,206,0,3.21,1
2015/09/17, 07:19:57,-46.941875,37.871429,29.29,468,27,0,3.47,1
2015/09/17, 07:50:17,-46.941883,37.871441,39.88,0,312,0,1.27,1
2015/09/17, 08:20:34,-46.941891,37.871426,50.34,0,326,0,1.45,1
2015/09/17, 08:51:36,-46.941875,37.871445,41.67,648,151,0,2.29,1
2015/09/17, 09:26:27,-46.941872,37.871407,42.01,612,153,0,2.9,1
2015/09/17, 10:12:41,-46.941875,37.871464,50.89,0,246,0,4.34,1
2015/09/17, 10:43:47,-46.941879,37.871456,45.4,0,63,0,0.75,1
2015/09/17, 11:15:10,-46.94191,37.871479,45.79,468,192,0,3.86,1
2015/09/17, 11:47:03,-46.941895,37.871475,49.97,252,1,0,1.7,1
2015/09/17, 12:26:30,-46.941856,37.871513,47.97,648,328,0,5.21,1
2015/09/17, 12:58:06,-46.941921,37.871384,43.67,0,100,0,12.17,1
2015/09/17, 13:29:35,-46.941914,37.871418,39.65,900,183,0,2.7,1
2015/09/17, 14:01:19,-46.941822,37.871574,43.7,0,78,0,15.65,1
2015/09/17, 14:33:35,-46.941887,37.871468,47.1,864,221,0,10.82,1
2015/09/17, 15:11:08,-46.941864,37.871494,48.04,792,65,0,3.23,1
2015/09/17, 15:42:52,-46.941891,37.871487,46.88,792,294,0,3.05,1
2015/09/17, 16:14:25,-46.94191,37.871487,56.09,252,116,0,2.11,1
2015/09/17, 16:51:13,-46.941902,37.871452,41.64,1008,18,0,2.8,1
2015/09/17, 17:22:34,-46.941902,37.871445,40.99,396,194,0,0.53,1
2015/09/17, 18:04:46,-46.941887,37.871487,46.19,756,139,0,3.6,1
2015/09/17, 18:35:21,-46.941929,37.871445,35.93,432,214,0,5.65,1
2015/09/17, 19:06:03,-46.941925,37.871452,39.54,288,326,0,0.69,1
2015/09/17, 19:36:53,-46.941872,37.871471,40.48,0,163,0,6.07,1
2015/09/17, 20:07:37,-46.941837,37.871483,42.36,720,32,0,4,1
2015/09/17, 20:38:14,-46.941902,37.871445,44.26,396,105,0,7.78,1
2015/09/17, 21:09:03,-46.941898,37.87146,38.7,432,147,0,1.22,1
2015/09/17, 21:39:31,-46.941921,37.871498,41.26,756,322,0,3.86,1
2015/09/17, 22:10:07,-46.941936,37.871532,26.2,1044,161,0,3.07,1
2015/09/17, 22:40:46,-46.941887,37.871475,36.93,540,188,0,6.96,1
2015/09/17, 23:11:16,-46.941921,37.87146,35.55,216,177,0,3.95,1
2015/09/17, 23:41:48,-46.941929,37.871387,41.1,828,356,-4,5.61,1
2015/09/18, 00:12:10,-46.941967,37.871414,37.31,792,354,-2,0,1
2015/09/18, 00:42:58,-46.941875,37.871262,27.37,900,285,0,15.42,1
2015/09/18, 01:14:03,-46.94191,37.871429,38.13,72,110,0,13.26,1
2015/09/18, 01:45:00,-46.941933,37.871353,31.59,0,255,0,6.31,1
2015/09/18, 02:16:02,-46.941902,37.871315,30.98,828,190,0,4.49,1
2015/09/18, 02:47:06,-46.941891,37.871407,35.91,180,117,0,7.09,1
2015/09/18, 03:18:33,-46.941898,37.871471,43.4,288,151,0,4.92,1
2015/09/18, 03:51:37,-46.941875,37.871487,37.94,0,65,0,2.83,1
