"Species","ID","Culmen_Length","sex","Deployment.date","Deployment.time..start.","Retrieval.date","Retrieval.time","Maxdist","date.start","date.end","duration"
"Northern giant petrel","NGP01_KD_SEP_2015",100.1,"Male","15-09-2015","15:25","23-09-2015","12:23",13.2,2015-09-15 15:25:00,2015-09-23 12:23:00,7.9
"Northern giant petrel","NGP03_KD_SEP_2015",102.9,"Male","16-09-2015","8:55","30-09-2015","17:28",1221.3,2015-09-16 08:55:00,2015-09-30 17:28:00,14.4
"Northern giant petrel","NGP04_KD_SEP_2015",99.3,"Male","16-09-2015","9:46","23-09-2015","11:00",4.1,2015-09-16 09:46:00,2015-09-23 11:00:00,7.1
"Northern giant petrel","NGP05_KD_SEP_2015",103.9,"Male","16-09-2015","10:05","30-09-2015","16:35",1609.7,2015-09-16 10:05:00,2015-09-30 16:35:00,14.3
"Northern giant petrel","NGP06_KD_SEP_2015",92.5,"Female","16-09-2015","10:17","30-09-2015","16:21",1817.2,2015-09-16 10:17:00,2015-09-30 16:21:00,14.3
"Northern giant petrel","NGP08_KD_SEP_2015",90.4,"Female","16-09-2015","10:58","30-09-2015","16:13",1750.7,2015-09-16 10:58:00,2015-09-30 16:13:00,14.2
"Northern giant petrel","NGP09_KD_SEP_2015",102.5,"Male","16-09-2015","11:13","04-10-2015","12:46",69.2,2015-09-16 11:13:00,2015-10-04 12:46:00,18.1
"Northern giant petrel","NGP11_KD_SEP_2015",107.7,"Male","01-10-2015","11:46","15-10-2015","16:28",984.8,2015-10-01 11:46:00,2015-10-15 16:28:00,14.2
"Northern giant petrel","NGP13_KD_SEP_2015",92.2,"Female","01-10-2015","12:20","15-10-2015","16:10",726.6,2015-10-01 12:20:00,2015-10-15 16:10:00,14.2
"Northern giant petrel","NGP14_KD_SEP_2015",110,"Male","01-10-2015","12:32","11-10-2015","14:16",1424.2,2015-10-01 12:32:00,2015-10-11 14:16:00,10.1
