"Individual_id","Species","sex","d13C_NA","d13C_DP","d13C_Plas","d13C_RBC","d15N_NA","d15N_DP","d15N_Plas","d15N_RBC","CN.ratio_NA","CN.ratio_DP","CN.ratio_Plas","CN.ratio_RBC","Culmen_length","date.start","duration","Maxdist","mean.lat","long.trip","short.trip","Predicted_d13C_DP","Normalized"
"NGP01_092017","NGP","Female",NA,-19.41,-21.91,-19.51,NA,15.39,15.6,14.26,NA,3.63,4.74,3.24,88.7,"2017-09-30 05:18:31",4.99395833333333,660.589839062759,-43.3781328891667,"Y","N",-23.9865695599593,"N"
"NGP01_26092016","NGP","Female",NA,-23.9876337220572,-21.85,-19.93,NA,NA,12.72,14.17,NA,NA,4.8,3.32,89.6,"2016-09-28 12:32:32",9.09587962962963,1804.98825347426,-40.5284130362385,"Y","N",-23.9876337220572,"Y"
"NGP01_KD_SEP_2015","NGP","Male",NA,-20.82,-23.58,-21.25,NA,11.76,11.75,12.05,NA,3.46,4.84,3.25,100.1,"2015-09-17 15:38:30",4.64960648148148,13.1745085697543,-46.9611200724638,"N","Y",-25.7583431634558,"N"
"NGP02_092017","NGP","Male",NA,-21,-23.31,-20.26,NA,12.87,12.88,13.63,NA,3.51,4.63,3.17,106.1,"2017-09-30 02:41:29",4.89431712962963,42.6781067541869,-46.9578047872881,"N","Y",-25.274618596113,"N"
"NGP02_26092016","NGP","Female",NA,-19.56,-21.2,-20.28,NA,14.76,14.61,13.94,NA,3.44,4.88,3.24,95.7,"2016-09-28 02:58:18",11.4957291666667,1924.33516807259,-40.5716997423358,"Y","N",-23.4190526048545,"N"
"NGP02_KD_SEP_2015","NGP","Female",NA,-18.39,-20.27,-19.81,NA,15.31,14.81,14.71,NA,3.45,4.71,3.25,NA,NA,NA,NA,NA,NA,NA,-22.3160374789103,"N"
"NGP03_092017","NGP","Male",NA,-21.6,-23.99,-21.56,NA,12.22,12.26,12.13,NA,3.61,4.5,3.24,NA,NA,NA,NA,NA,NA,NA,-25.8223129115675,"N"
"NGP03_26092016","NGP","Male",NA,-21.65,-24.19,-21.4,NA,11.95,11.87,11.92,NA,3.39,4.79,3.27,102.4,"2016-09-30 04:38:03",7.20171296296296,8.69628367566114,-46.9656794878613,"N","Y",-26.3174563617075,"N"
"NGP03_KD_SEP_2015","NGP","Male",NA,-18.94,-21.27,-20.24,NA,16.22,15.58,13.99,NA,3.49,5.28,3.26,102.9,"2015-09-17 11:18:27",10.8271412037037,1221.25694298443,-39.4125695,"Y","N",-23.8961470188408,"N"
"NGP04_092017","NGP","Male",NA,-19.55,-21.43,-20.03,NA,13.29,13.27,13.02,NA,3.71,4.27,3.16,NA,NA,NA,NA,NA,NA,NA,-23.0282336235254,"N"
"NGP04_26102016","NGP","Female",NA,-21.38,-23.74,-21,NA,14.01,13.75,13.75,NA,3.46,5.08,3.31,88.7,"2016-10-01 02:55:06",7.50736111111111,1723.95445279383,-42.6190784727778,"Y","N",-26.1625998118476,"N"
"NGP04_KD_SEP_2015",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3,"2015-09-18 08:09:11",2.19225694444444,4.09450092727443,-46.9650765333333,"N","Y",NA,NA
"NGP05_092017","NGP","Male",NA,-20.42,-22.91,-19.82,NA,13.66,13.59,13.63,NA,3.73,4.78,3.17,99.9,"2017-09-30 11:41:17",6.86453703703704,1137.63173061691,-46.2237228557576,"Y","Y",-25.0272790013579,"N"
"NGP05_26102016","NGP","Male",NA,-21.22,-23.31,-19.68,NA,13.86,14.01,14.18,NA,3.4,4.6,3.27,108.1,"2016-09-28 05:42:07",7.92216435185185,231.277101654833,-45.9152718326316,"Y","N",-25.2440865150641,"N"
"NGP05_KD_SEP_2015","NGP","Male",NA,-19.58,-21.87,-20.43,NA,13.89,13.91,13.74,NA,3.53,4.98,3.26,103.9,"2015-09-22 16:10:20",7.96040509259259,1609.66533435202,-42.8739260948905,"Y","N",-24.190826208351,"N"
"NGP06_092017","NGP","Female",NA,-21.29,-23.56,-20.3,NA,14.02,13.88,13.83,NA,3.54,4.75,3.17,87.1,"2017-10-04 13:41:10",5.86643518518519,631.157407265252,-43.6273796056738,"Y","N",-25.6467469203089,"N"
"NGP06_26102016","NGP","Female",NA,-21.73,-24.58,-19.89,NA,13.28,13.22,13.79,NA,3.56,5.4,3.3,88.5,"2016-09-28 04:53:33",10.9454282407407,538.964604971131,-45.5582528793893,"Y","N",-27.3282753430366,"N"
"NGP06_KD_SEP_2015","NGP","Female",NA,-19.77,-20.85,-19.71,NA,14.68,14.53,14.78,NA,3.72,4.64,3.25,92.5,"2015-09-20 13:43:48",9.86181712962963,1817.21957180016,-41.6124032183908,"Y","N",-22.8247959564627,"N"
"NGP07_092017","NGP","Female",NA,-20.56,-23.67,-19.5,NA,14.08,14.04,14.23,NA,3.5,5.22,3.15,NA,NA,NA,NA,NA,NA,NA,-26.2350828567428,"N"
"NGP07_26102016","NGP","Male",NA,-21.39,-23.72,-20.17,NA,12.42,12.39,13.14,NA,3.45,4.6,3.28,107.6,"2016-09-29 06:07:33",6.99409722222222,8.49423954275327,-46.9615452261905,"N","Y",-25.6540865150641,"N"
"NGP08_092017","NGP","Female",NA,-19.68,-22.06,-20.24,NA,14.19,14.09,13.75,NA,3.52,4.91,3.15,87.4,"2017-10-01 06:02:25",6.58435185185185,1665.60479076129,-39.378708493038,"Y","N",-24.3095846859034,"N"
"NGP08_26102016",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.7,"2016-09-27 11:05:52",15.8804166666667,615.777141610195,-47.8986500886842,"Y","Y",NA,NA
"NGP08_KD_SEP_2015","NGP","Female",NA,-19.05,-21.37,-20.09,NA,15.05,14.54,14.44,NA,3.5,5.03,3.27,90.4,"2015-09-20 09:16:17",10.316724537037,1750.66376706632,-41.5347797443182,"Y","Y",-23.7417130100993,"N"
"NGP09_092017","NGP","Female",NA,-20.75,-22.86,-20.31,NA,13.87,13.66,13.95,NA,3.53,4.87,3.23,91.7,"2017-09-30 14:31:37",4.48560185185185,1056.64904128066,-45.0024700157407,"Y","N",-25.0688752445048,"N"
"NGP09_26102016","NGP","Female",NA,-20.78,-23.71,-19.94,NA,14.67,14.58,14.59,NA,3.39,5.37,3.28,90.7,"2016-09-26 11:11:38",8.97813657407407,1754.29339953208,-40.2858828562791,"Y","N",-26.4277432619877,"N"
"NGP09_KD_SEP_2015",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.5,"2015-09-24 09:25:25",8.35592592592593,69.1990013630913,-46.9610412662338,"N","Y",NA,NA
"NGP10_092017","NGP","Female",NA,-19.91,-22.01,-19.25,NA,14.6,14.45,14.3,NA,3.8,4.85,3.18,88.9,"2017-09-28 02:29:48",7.28296296296296,514.489201968803,-46.4689549885714,"Y","Y",-24.1985205238055,"N"
"NGP10_26102016","NGP","Female",NA,-19,-20.57,-18.69,NA,14.79,14.78,14.58,NA,3.47,4.56,3.29,NA,NA,NA,NA,NA,NA,NA,-22.4633770736654,"N"
"NGP10_KD_SEP_2015","NGP","Female",NA,-19.19,-21.19,NA,NA,15.06,14.64,NA,NA,3.52,4.62,NA,NA,NA,NA,NA,NA,NA,NA,-23.1444412357634,"N"
"NGP11_092017","NGP","Female",NA,-19.88,-21.58,-20.75,NA,14.64,14.57,13.44,NA,3.87,4.77,3.2,92,"2017-09-28 14:34:41",6.08262731481481,1413.24536180373,-39.2237183020548,"Y","N",-23.6871016410082,"N"
"NGP11_26102016","NGP","Male",NA,-18.52,-22.37,-18.27,NA,15.75,12.56,14.52,NA,3.44,5.04,3.28,113.9,"2016-09-30 15:45:48",11.787037037037,9.34132209275722,-46.9548269939286,"N","Y",-24.751890370449,"N"
"NGP11_KD_SEP_2015","NGP","Male",NA,-20.06,-22.04,-19.81,NA,13.95,14.09,15.02,NA,3.47,4.74,3.28,107.7,"2015-10-07 11:28:34",6.95371527777778,984.766246607826,-43.3754404375,"Y","N",-24.1165695599593,"N"
"NGP12_092017","NGP","Female",NA,-19.39,-21.61,-19.23,NA,15.01,14.95,14.47,NA,3.77,4.78,3.18,85.3,"2017-10-06 03:44:51",13.1341319444444,1768.61031471579,-40.7478206597444,"Y","N",-23.7272790013579,"N"
